ProductID,Date,Zip,Units,Revenue
833,2000-01-15,76108,1,797.947500
837,2000-01-15,33436,1,813.697500
837,2000-01-15,76531,1,813.697500
838,2000-01-15,29526,1,934.447500
838,2000-01-15,33584,1,944.947500
838,2000-01-15,33947,1,944.947500
838,2000-01-15,74132,1,929.197500
838,2000-01-15,75080,1,944.947500
838,2000-01-15,85225,1,934.447500
838,2000-01-15,92647,1,929.197500
838,2000-01-15,92833,1,934.447500
843,2000-01-15,91730,1,551.197500
847,2000-01-15,17701,1,603.697500
847,2000-01-15,71446,1,577.447500
847,2000-01-15,99205,1,603.697500
852,2000-01-15,36054,1,745.447500
852,2000-01-15,85234,1,771.697500
853,2000-01-15,78413,1,456.697500
862,2000-01-15,85224,1,209.947500
863,2000-01-15,93117,1,304.447500
901,2000-01-15,24153,1,409.447500
901,2000-01-15,28391,1,409.447500
901,2000-01-15,48603,1,409.447500
901,2000-01-15,48744,1,409.447500
901,2000-01-15,57706,1,409.447500
901,2000-01-15,63127,1,409.447500
901,2000-01-15,80601,1,409.447500
921,2000-01-15,23602,1,524.947500
921,2000-01-15,33146,1,524.947500
921,2000-01-15,72702,1,524.947500
921,2000-01-15,75050,1,524.947500
921,2000-01-15,80126,1,524.947500
921,2000-01-15,94560,1,524.947500
922,2000-01-15,17347,1,472.447500
922,2000-01-15,85044,1,472.447500
922,2000-01-15,91360,1,472.447500
922,2000-01-15,94115,1,472.447500
932,2000-01-15,91792,1,430.447500
936,2000-01-15,07208,2,997.395000
936,2000-01-15,11725,1,498.697500
936,2000-01-15,23225,1,498.697500
936,2000-01-15,27612,1,498.697500
936,2000-01-15,28031,1,498.697500
936,2000-01-15,34994,1,498.697500
936,2000-01-15,68516,1,498.697500
936,2000-01-15,80241,1,498.697500
936,2000-01-15,92118,1,498.697500
940,2000-01-15,27292,1,671.947500
962,2000-01-15,28227,1,524.947500
962,2000-01-15,46307,1,524.947500
962,2000-01-15,70056,1,509.197500
962,2000-01-15,77042,1,509.197500
962,2000-01-15,79924,1,524.947500
964,2000-01-15,10032,1,356.947500
964,2000-01-15,10462,1,356.947500
964,2000-01-15,32224,1,346.447500
964,2000-01-15,33901,1,356.947500
964,2000-01-15,34476,1,356.947500
964,2000-01-15,36567,1,356.947500
964,2000-01-15,75093,1,346.447500
964,2000-01-15,78704,1,346.447500
964,2000-01-15,79512,1,356.947500
964,2000-01-15,94947,1,356.947500
964,2000-01-15,97489,1,356.947500
979,2000-01-15,33068,1,409.447500
979,2000-01-15,80525,1,393.697500
979,2000-01-15,92107,1,409.447500
979,2000-01-15,97123,1,393.697500
981,2000-01-15,25427,1,209.947500
981,2000-01-15,36106,1,167.947500
981,2000-01-15,36374,1,157.447500
981,2000-01-15,37048,1,157.447500
981,2000-01-15,37216,1,167.947500
981,2000-01-15,37921,1,167.947500
981,2000-01-15,75236,1,167.947500
981,2000-01-15,77083,1,157.447500
981,2000-01-15,83661,1,167.947500
981,2000-01-15,88230,1,167.947500
981,2000-01-15,90802,1,157.447500
981,2000-01-15,98502,1,157.447500
988,2000-01-15,80020,1,414.697500
989,2000-01-15,08610,1,467.197500
989,2000-01-15,32124,1,451.447500
989,2000-01-15,41749,1,451.447500
989,2000-01-15,70764,1,451.447500
989,2000-01-15,73036,1,451.447500
989,2000-01-15,78382,1,451.447500
989,2000-01-15,80013,1,467.197500
990,2000-01-15,41230,1,530.197500
990,2000-01-15,53209,1,482.947500
990,2000-01-15,62035,1,503.947500
990,2000-01-15,85224,1,530.197500
992,2000-01-15,27921,1,278.197500
992,2000-01-15,28209,1,278.197500
992,2000-01-15,29715,1,288.697500
992,2000-01-15,32137,1,278.197500
992,2000-01-15,60103,1,288.697500
992,2000-01-15,76542,1,288.697500
992,2000-01-15,77050,1,278.197500
992,2000-01-15,77396,1,278.197500
992,2000-01-15,77450,1,278.197500
992,2000-01-15,77521,1,278.197500
992,2000-01-15,85207,1,314.947500
992,2000-01-15,89107,1,309.697500
992,2000-01-15,95035,1,278.197500
1003,2000-01-15,38329,1,86.572500
1003,2000-01-15,46755,1,86.572500
1003,2000-01-15,72202,1,86.572500
1003,2000-01-15,72401,2,173.145000
1005,2000-01-15,28173,1,107.572500
1005,2000-01-15,29150,1,107.572500
1005,2000-01-15,34669,1,107.572500
1005,2000-01-15,38663,1,107.572500
1005,2000-01-15,45011,1,107.572500
1005,2000-01-15,45177,2,215.145000
1005,2000-01-15,48075,1,107.572500
1005,2000-01-15,70506,1,107.572500
1005,2000-01-15,77573,1,107.572500
1005,2000-01-15,78751,1,107.572500
1005,2000-01-15,97206,1,107.572500
1008,2000-01-15,30620,1,236.197500
1008,2000-01-15,33868,1,236.197500
1008,2000-01-15,34996,1,236.197500
1008,2000-01-15,85268,1,236.197500
1008,2000-01-15,87185,1,236.197500
1008,2000-01-15,87571,1,236.197500
1014,2000-01-15,27863,1,86.572500
1014,2000-01-15,53032,1,86.572500
1045,2000-01-15,37748,1,207.322500
1045,2000-01-15,83704,1,207.322500
1045,2000-01-15,93405,1,207.322500
1046,2000-01-15,17921,1,99.697500
1046,2000-01-15,20706,1,99.697500
1046,2000-01-15,36532,1,99.697500
1046,2000-01-15,55927,1,99.697500
1046,2000-01-15,70560,1,99.697500
1046,2000-01-15,75060,2,199.395000
1046,2000-01-15,77040,1,99.697500
1053,2000-01-15,52601,1,251.947500
1053,2000-01-15,60544,1,251.947500
1063,2000-01-15,95531,1,233.572500
1064,2000-01-15,07726,1,246.697500
1064,2000-01-15,92028,1,233.572500
1065,2000-01-15,06804,1,296.572500
1065,2000-01-15,08901,1,296.572500
1065,2000-01-15,10925,1,296.572500
1065,2000-01-15,17520,1,296.572500
1065,2000-01-15,22601,1,296.572500
1065,2000-01-15,24101,1,296.572500
1065,2000-01-15,27906,1,296.572500
1065,2000-01-15,28056,1,296.572500
1065,2000-01-15,30907,1,296.572500
1065,2000-01-15,31701,1,296.572500
1065,2000-01-15,32701,1,296.572500
1065,2000-01-15,33166,1,296.572500
1065,2000-01-15,35758,1,296.572500
1065,2000-01-15,35967,1,296.572500
1065,2000-01-15,41051,2,593.145000
1065,2000-01-15,44483,1,296.572500
1065,2000-01-15,45140,1,296.572500
1065,2000-01-15,45406,1,296.572500
1065,2000-01-15,46516,1,296.572500
1065,2000-01-15,48039,1,296.572500
1065,2000-01-15,54304,1,296.572500
1065,2000-01-15,60457,1,296.572500
1065,2000-01-15,64081,1,296.572500
1065,2000-01-15,64119,1,296.572500
1065,2000-01-15,73071,1,296.572500
1065,2000-01-15,75240,1,296.572500
1065,2000-01-15,77056,1,296.572500
1065,2000-01-15,79703,1,296.572500
1065,2000-01-15,80631,1,296.572500
1065,2000-01-15,81623,2,593.145000
1065,2000-01-15,83647,1,296.572500
1065,2000-01-15,84062,1,296.572500
1065,2000-01-15,85262,1,296.572500
1065,2000-01-15,89029,1,296.572500
1065,2000-01-15,89450,1,296.572500
1065,2000-01-15,90274,1,296.572500
1065,2000-01-15,92345,1,296.572500
1065,2000-01-15,92886,1,296.572500
1065,2000-01-15,93268,1,296.572500
1065,2000-01-15,95426,1,296.572500
1065,2000-01-15,97045,2,593.145000
1065,2000-01-15,97502,1,296.572500
1066,2000-01-15,01054,1,296.572500
1066,2000-01-15,07444,1,296.572500
1066,2000-01-15,14756,1,296.572500
1066,2000-01-15,15601,1,296.572500
1066,2000-01-15,19355,1,296.572500
1066,2000-01-15,20707,1,296.572500
1066,2000-01-15,21207,1,296.572500
1066,2000-01-15,24112,1,296.572500
1066,2000-01-15,28164,1,296.572500
1066,2000-01-15,30553,1,296.572500
1066,2000-01-15,33470,1,296.572500
1066,2000-01-15,34683,1,296.572500
1066,2000-01-15,35242,1,296.572500
1066,2000-01-15,36701,1,296.572500
1066,2000-01-15,43777,1,296.572500
1066,2000-01-15,45011,1,296.572500
1066,2000-01-15,45648,1,296.572500
1066,2000-01-15,50051,1,296.572500
1066,2000-01-15,50238,1,296.572500
1066,2000-01-15,52003,1,296.572500
1066,2000-01-15,54552,1,296.572500
1066,2000-01-15,54724,1,296.572500
1066,2000-01-15,55920,1,296.572500
1066,2000-01-15,70433,1,296.572500
1066,2000-01-15,72758,1,296.572500
1066,2000-01-15,73034,1,296.572500
1066,2000-01-15,73142,1,296.572500
1066,2000-01-15,74105,1,296.572500
1066,2000-01-15,80138,1,296.572500
1066,2000-01-15,80301,1,296.572500
1066,2000-01-15,80759,1,296.572500
1066,2000-01-15,80929,1,296.572500
1066,2000-01-15,82001,1,296.572500
1066,2000-01-15,82070,1,296.572500
1066,2000-01-15,82717,1,296.572500
1066,2000-01-15,84057,1,296.572500
1066,2000-01-15,84720,1,296.572500
1066,2000-01-15,85920,1,296.572500
1066,2000-01-15,89301,1,296.572500
1066,2000-01-15,89423,1,296.572500
1066,2000-01-15,91042,1,296.572500
1066,2000-01-15,92021,1,296.572500
1066,2000-01-15,92220,2,593.145000
1066,2000-01-15,92506,1,296.572500
1066,2000-01-15,92571,1,296.572500
1066,2000-01-15,97487,1,296.572500
1066,2000-01-15,98660,1,296.572500
1079,2000-01-15,20743,1,262.447500
1079,2000-01-15,43082,1,262.447500
1079,2000-01-15,83455,1,262.447500
1079,2000-01-15,85215,1,262.447500
1079,2000-01-15,85361,1,262.447500
1079,2000-01-15,92121,1,262.447500
1079,2000-01-15,93722,1,262.447500
1079,2000-01-15,96001,1,262.447500
1080,2000-01-15,08020,1,262.447500
1080,2000-01-15,32218,1,262.447500
1080,2000-01-15,80831,1,262.447500
1080,2000-01-15,85532,1,262.447500
1080,2000-01-15,91401,1,262.447500
1081,2000-01-15,39402,1,225.697500
1081,2000-01-15,95926,1,225.697500
1081,2000-01-15,98626,2,451.395000
1081,2000-01-15,98686,1,225.697500
1082,2000-01-15,20111,1,225.697500
1082,2000-01-15,28080,1,225.697500
1082,2000-01-15,33813,1,225.697500
1082,2000-01-15,34239,1,225.697500
1082,2000-01-15,39404,2,451.395000
1082,2000-01-15,44843,1,225.697500
1082,2000-01-15,89131,1,225.697500
1091,2000-01-15,59714,1,167.947500
1105,2000-01-15,20711,1,246.697500
1105,2000-01-15,33142,1,246.697500
1105,2000-01-15,35214,1,246.697500
